"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","29825",""
"Afghanistan","2011","29105",""
"Afghanistan","2010","28398",""
"Afghanistan","2009","27708",""
"Afghanistan","2008","27032",""
"Afghanistan","2007","26349",""
"Afghanistan","2006","25631",""
"Afghanistan","2005","24861",""
"Afghanistan","2004","24019",""
"Afghanistan","2003","23116",""
"Afghanistan","2002","22203",""
"Afghanistan","2001","21348",""
"Afghanistan","2000","20595",""
"Afghanistan","1999","19987",""
"Afghanistan","1998","19497",""
"Afghanistan","1997","19021",""
"Afghanistan","1996","18415",""
"Afghanistan","1995","17586",""
"Afghanistan","1994","16485",""
"Afghanistan","1993","15175",""
"Afghanistan","1992","13812",""
"Afghanistan","1991","12612",""
"Afghanistan","1990","11731",""
"Albania","2012","3162",""
"Albania","2011","3154",""
"Albania","2010","3150",""
"Albania","2009","3151",""
"Albania","2008","3157",""
"Albania","2007","3166",""
"Albania","2006","3180",""
"Albania","2005","3196",""
"Albania","2004","3216",""
"Albania","2003","3239",""
"Albania","2002","3264",""
"Albania","2001","3286",""
"Albania","2000","3305",""
"Albania","1999","3318",""
"Albania","1998","3325",""
"Albania","1997","3331",""
"Albania","1996","3341",""
"Albania","1995","3358",""
"Albania","1994","3384",""
"Albania","1993","3417",""
"Albania","1992","3447",""
"Albania","1991","3460",""
"Albania","1990","3447",""
"Algeria","2012","38482",""
"Algeria","2011","37763",""
"Algeria","2010","37063",""
"Algeria","2009","36383",""
"Algeria","2008","35725",""
"Algeria","2007","35097",""
"Algeria","2006","34507",""
"Algeria","2005","33961",""
"Algeria","2004","33461",""
"Algeria","2003","33003",""
"Algeria","2002","32573",""
"Algeria","2001","32150",""
"Algeria","2000","31719",""
"Algeria","1999","31276",""
"Algeria","1998","30820",""
"Algeria","1997","30345",""
"Algeria","1996","29845",""
"Algeria","1995","29315",""
"Algeria","1994","28753",""
"Algeria","1993","28158",""
"Algeria","1992","27535",""
"Algeria","1991","26894",""
"Algeria","1990","26240",""
"Andorra","2012","78",""
"Andorra","2011","78",""
"Andorra","2010","78",""
"Andorra","2009","79",""
"Andorra","2008","80",""
"Andorra","2007","81",""
"Andorra","2006","82",""
"Andorra","2005","81",""
"Andorra","2004","79",""
"Andorra","2003","76",""
"Andorra","2002","72",""
"Andorra","2001","68",""
"Andorra","2000","65",""
"Andorra","1999","64",""
"Andorra","1998","64",""
"Andorra","1997","64",""
"Andorra","1996","64",""
"Andorra","1995","64",""
"Andorra","1994","63",""
"Andorra","1993","61",""
"Andorra","1992","59",""
"Andorra","1991","57",""
"Andorra","1990","55",""
"Angola","2012","20821",""
"Angola","2011","20180",""
"Angola","2010","19549",""
"Angola","2009","18927",""
"Angola","2008","18314",""
"Angola","2007","17713",""
"Angola","2006","17122",""
"Angola","2005","16544",""
"Angola","2004","15977",""
"Angola","2003","15421",""
"Angola","2002","14887",""
"Angola","2001","14385",""
"Angola","2000","13925",""
"Angola","1999","13511",""
"Angola","1998","13138",""
"Angola","1997","12791",""
"Angola","1996","12452",""
"Angola","1995","12105",""
"Angola","1994","11743",""
"Angola","1993","11372",""
"Angola","1992","11003",""
"Angola","1991","10653",""
"Angola","1990","10334",""
"Antigua and Barbuda","2012","89",""
"Antigua and Barbuda","2011","88",""
"Antigua and Barbuda","2010","87",""
"Antigua and Barbuda","2009","86",""
"Antigua and Barbuda","2008","85",""
"Antigua and Barbuda","2007","84",""
"Antigua and Barbuda","2006","83",""
"Antigua and Barbuda","2005","83",""
"Antigua and Barbuda","2004","82",""
"Antigua and Barbuda","2003","81",""
"Antigua and Barbuda","2002","80",""
"Antigua and Barbuda","2001","79",""
"Antigua and Barbuda","2000","78",""
"Antigua and Barbuda","1999","76",""
"Antigua and Barbuda","1998","74",""
"Antigua and Barbuda","1997","72",""
"Antigua and Barbuda","1996","70",""
"Antigua and Barbuda","1995","68",""
"Antigua and Barbuda","1994","67",""
"Antigua and Barbuda","1993","65",""
"Antigua and Barbuda","1992","63",""
"Antigua and Barbuda","1991","62",""
"Antigua and Barbuda","1990","62",""
"Argentina","2012","41087",""
"Argentina","2011","40729",""
"Argentina","2010","40374",""
"Argentina","2009","40024",""
"Argentina","2008","39676",""
"Argentina","2007","39331",""
"Argentina","2006","38989",""
"Argentina","2005","38648",""
"Argentina","2004","38309",""
"Argentina","2003","37970",""
"Argentina","2002","37628",""
"Argentina","2001","37273",""
"Argentina","2000","36903",""
"Argentina","1999","36515",""
"Argentina","1998","36109",""
"Argentina","1997","35691",""
"Argentina","1996","35264",""
"Argentina","1995","34833",""
"Argentina","1994","34399",""
"Argentina","1993","33962",""
"Argentina","1992","33521",""
"Argentina","1991","33075",""
"Argentina","1990","32625",""
"Armenia","2012","2969",""
"Armenia","2011","2964",""
"Armenia","2010","2963",""
"Armenia","2009","2968",""
"Armenia","2008","2977",""
"Armenia","2007","2990",""
"Armenia","2006","3003",""
"Armenia","2005","3015",""
"Armenia","2004","3026",""
"Armenia","2003","3036",""
"Armenia","2002","3047",""
"Armenia","2001","3060",""
"Armenia","2000","3076",""
"Armenia","1999","3094",""
"Armenia","1998","3113",""
"Armenia","1997","3138",""
"Armenia","1996","3173",""
"Armenia","1995","3223",""
"Armenia","1994","3290",""
"Armenia","1993","3370",""
"Armenia","1992","3449",""
"Armenia","1991","3512",""
"Armenia","1990","3545",""
"Australia","2012","23050",""
"Australia","2011","22741",""
"Australia","2010","22404",""
"Australia","2009","22037",""
"Australia","2008","21645",""
"Australia","2007","21246",""
"Australia","2006","20866",""
"Australia","2005","20521",""
"Australia","2004","20218",""
"Australia","2003","19953",""
"Australia","2002","19715",""
"Australia","2001","19487",""
"Australia","2000","19259",""
"Australia","1999","19027",""
"Australia","1998","18795",""
"Australia","1997","18563",""
"Australia","1996","18339",""
"Australia","1995","18124",""
"Australia","1994","17921",""
"Australia","1993","17725",""
"Australia","1992","17529",""
"Australia","1991","17322",""
"Australia","1990","17097",""
"Austria","2012","8464",""
"Austria","2011","8433",""
"Austria","2010","8402",""
"Austria","2009","8372",""
"Austria","2008","8342",""
"Austria","2007","8311",""
"Austria","2006","8277",""
"Austria","2005","8239",""
"Austria","2004","8193",""
"Austria","2003","8142",""
"Austria","2002","8092",""
"Austria","2001","8049",""
"Austria","2000","8020",""
"Austria","1999","8008",""
"Austria","1998","8009",""
"Austria","1997","8014",""
"Austria","1996","8009",""
"Austria","1995","7985",""
"Austria","1994","7938",""
"Austria","1993","7872",""
"Austria","1992","7797",""
"Austria","1991","7726",""
"Austria","1990","7670",""
"Azerbaijan","2012","9309",""
"Azerbaijan","2011","9202",""
"Azerbaijan","2010","9095",""
"Azerbaijan","2009","8986",""
"Azerbaijan","2008","8878",""
"Azerbaijan","2007","8770",""
"Azerbaijan","2006","8665",""
"Azerbaijan","2005","8563",""
"Azerbaijan","2004","8465",""
"Azerbaijan","2003","8370",""
"Azerbaijan","2002","8280",""
"Azerbaijan","2001","8195",""
"Azerbaijan","2000","8118",""
"Azerbaijan","1999","8048",""
"Azerbaijan","1998","7984",""
"Azerbaijan","1997","7922",""
"Azerbaijan","1996","7852",""
"Azerbaijan","1995","7771",""
"Azerbaijan","1994","7675",""
"Azerbaijan","1993","7567",""
"Azerbaijan","1992","7451",""
"Azerbaijan","1991","7333",""
"Azerbaijan","1990","7217",""
"Bahamas","2012","372",""
"Bahamas","2011","366",""
"Bahamas","2010","360",""
"Bahamas","2009","354",""
"Bahamas","2008","348",""
"Bahamas","2007","342",""
"Bahamas","2006","336",""
"Bahamas","2005","329",""
"Bahamas","2004","322",""
"Bahamas","2003","316",""
"Bahamas","2002","309",""
"Bahamas","2001","303",""
"Bahamas","2000","298",""
"Bahamas","1999","293",""
"Bahamas","1998","290",""
"Bahamas","1997","287",""
"Bahamas","1996","284",""
"Bahamas","1995","280",""
"Bahamas","1994","276",""
"Bahamas","1993","271",""
"Bahamas","1992","266",""
"Bahamas","1991","261",""
"Bahamas","1990","256",""
"Bahrain","2012","1318",""
"Bahrain","2011","1293",""
"Bahrain","2010","1252",""
"Bahrain","2009","1192",""
"Bahrain","2008","1116",""
"Bahrain","2007","1032",""
"Bahrain","2006","951",""
"Bahrain","2005","880",""
"Bahrain","2004","821",""
"Bahrain","2003","772",""
"Bahrain","2002","733",""
"Bahrain","2001","699",""
"Bahrain","2000","668",""
"Bahrain","1999","641",""
"Bahrain","1998","618",""
"Bahrain","1997","597",""
"Bahrain","1996","580",""
"Bahrain","1995","564",""
"Bahrain","1994","549",""
"Bahrain","1993","536",""
"Bahrain","1992","523",""
"Bahrain","1991","510",""
"Bahrain","1990","496",""
"Bangladesh","2012","155000",""
"Bangladesh","2011","153000",""
"Bangladesh","2010","151000",""
"Bangladesh","2009","150000",""
"Bangladesh","2008","148000",""
"Bangladesh","2007","147000",""
"Bangladesh","2006","145000",""
"Bangladesh","2005","143000",""
"Bangladesh","2004","141000",""
"Bangladesh","2003","139000",""
"Bangladesh","2002","137000",""
"Bangladesh","2001","135000",""
"Bangladesh","2000","132000",""
"Bangladesh","1999","130000",""
"Bangladesh","1998","128000",""
"Bangladesh","1997","125000",""
"Bangladesh","1996","122000",""
"Bangladesh","1995","120000",""
"Bangladesh","1994","117000",""
"Bangladesh","1993","115000",""
"Bangladesh","1992","112000",""
"Bangladesh","1991","110000",""
"Bangladesh","1990","107000",""
"Barbados","2012","283",""
"Barbados","2011","282",""
"Barbados","2010","280",""
"Barbados","2009","279",""
"Barbados","2008","278",""
"Barbados","2007","276",""
"Barbados","2006","275",""
"Barbados","2005","274",""
"Barbados","2004","272",""
"Barbados","2003","271",""
"Barbados","2002","270",""
"Barbados","2001","268",""
"Barbados","2000","267",""
"Barbados","1999","266",""
"Barbados","1998","265",""
"Barbados","1997","265",""
"Barbados","1996","264",""
"Barbados","1995","263",""
"Barbados","1994","262",""
"Barbados","1993","262",""
"Barbados","1992","261",""
"Barbados","1991","260",""
"Barbados","1990","259",""
"Belarus","2012","9405",""
"Belarus","2011","9450",""
"Belarus","2010","9491",""
"Belarus","2009","9526",""
"Belarus","2008","9556",""
"Belarus","2007","9585",""
"Belarus","2006","9620",""
"Belarus","2005","9665",""
"Belarus","2004","9720",""
"Belarus","2003","9784",""
"Belarus","2002","9853",""
"Belarus","2001","9920",""
"Belarus","2000","9981",""
"Belarus","1999","10035",""
"Belarus","1998","10081",""
"Belarus","1997","10121",""
"Belarus","1996","10156",""
"Belarus","1995","10189",""
"Belarus","1994","10220",""
"Belarus","1993","10246",""
"Belarus","1992","10265",""
"Belarus","1991","10271",""
"Belarus","1990","10260",""
"Belgium","2012","11060",""
"Belgium","2011","11007",""
"Belgium","2010","10941",""
"Belgium","2009","10862",""
"Belgium","2008","10773",""
"Belgium","2007","10678",""
"Belgium","2006","10588",""
"Belgium","2005","10508",""
"Belgium","2004","10441",""
"Belgium","2003","10385",""
"Belgium","2002","10339",""
"Belgium","2001","10301",""
"Belgium","2000","10268",""
"Belgium","1999","10242",""
"Belgium","1998","10223",""
"Belgium","1997","10206",""
"Belgium","1996","10187",""
"Belgium","1995","10162",""
"Belgium","1994","10130",""
"Belgium","1993","10091",""
"Belgium","1992","10050",""
"Belgium","1991","10011",""
"Belgium","1990","9978",""
"Belize","2012","324",""
"Belize","2011","316",""
"Belize","2010","309",""
"Belize","2009","301",""
"Belize","2008","294",""
"Belize","2007","286",""
"Belize","2006","279",""
"Belize","2005","272",""
"Belize","2004","265",""
"Belize","2003","258",""
"Belize","2002","252",""
"Belize","2001","245",""
"Belize","2000","239",""
"Belize","1999","232",""
"Belize","1998","225",""
"Belize","1997","218",""
"Belize","1996","212",""
"Belize","1995","207",""
"Belize","1994","202",""
"Belize","1993","198",""
"Belize","1992","195",""
"Belize","1991","191",""
"Belize","1990","188",""
"Benin","2012","10051",""
"Benin","2011","9780",""
"Benin","2010","9510",""
"Benin","2009","9241",""
"Benin","2008","8973",""
"Benin","2007","8707",""
"Benin","2006","8444",""
"Benin","2005","8182",""
"Benin","2004","7923",""
"Benin","2003","7666",""
"Benin","2002","7415",""
"Benin","2001","7175",""
"Benin","2000","6949",""
"Benin","1999","6740",""
"Benin","1998","6546",""
"Benin","1997","6361",""
"Benin","1996","6176",""
"Benin","1995","5986",""
"Benin","1994","5787",""
"Benin","1993","5582",""
"Benin","1992","5378",""
"Benin","1991","5183",""
"Benin","1990","5001",""
"Bhutan","2012","742",""
"Bhutan","2011","729",""
"Bhutan","2010","717",""
"Bhutan","2009","705",""
"Bhutan","2008","692",""
"Bhutan","2007","679",""
"Bhutan","2006","666",""
"Bhutan","2005","650",""
"Bhutan","2004","634",""
"Bhutan","2003","616",""
"Bhutan","2002","598",""
"Bhutan","2001","581",""
"Bhutan","2000","564",""
"Bhutan","1999","549",""
"Bhutan","1998","534",""
"Bhutan","1997","521",""
"Bhutan","1996","513",""
"Bhutan","1995","509",""
"Bhutan","1994","512",""
"Bhutan","1993","519",""
"Bhutan","1992","528",""
"Bhutan","1991","535",""
"Bhutan","1990","536",""
"Bolivia (Plurinational State of)","2012","10496",""
"Bolivia (Plurinational State of)","2011","10324",""
"Bolivia (Plurinational State of)","2010","10157",""
"Bolivia (Plurinational State of)","2009","9993",""
"Bolivia (Plurinational State of)","2008","9834",""
"Bolivia (Plurinational State of)","2007","9676",""
"Bolivia (Plurinational State of)","2006","9517",""
"Bolivia (Plurinational State of)","2005","9355",""
"Bolivia (Plurinational State of)","2004","9188",""
"Bolivia (Plurinational State of)","2003","9017",""
"Bolivia (Plurinational State of)","2002","8843",""
"Bolivia (Plurinational State of)","2001","8669",""
"Bolivia (Plurinational State of)","2000","8495",""
"Bolivia (Plurinational State of)","1999","8322",""
"Bolivia (Plurinational State of)","1998","8150",""
"Bolivia (Plurinational State of)","1997","7979",""
"Bolivia (Plurinational State of)","1996","7807",""
"Bolivia (Plurinational State of)","1995","7635",""
"Bolivia (Plurinational State of)","1994","7464",""
"Bolivia (Plurinational State of)","1993","7293",""
"Bolivia (Plurinational State of)","1992","7123",""
"Bolivia (Plurinational State of)","1991","6957",""
"Bolivia (Plurinational State of)","1990","6794",""
"Bosnia and Herzegovina","2012","3834",""
"Bosnia and Herzegovina","2011","3839",""
"Bosnia and Herzegovina","2010","3846",""
"Bosnia and Herzegovina","2009","3853",""
"Bosnia and Herzegovina","2008","3861",""
"Bosnia and Herzegovina","2007","3869",""
"Bosnia and Herzegovina","2006","3875",""
"Bosnia and Herzegovina","2005","3880",""
"Bosnia and Herzegovina","2004","3887",""
"Bosnia and Herzegovina","2003","3896",""
"Bosnia and Herzegovina","2002","3898",""
"Bosnia and Herzegovina","2001","3879",""
"Bosnia and Herzegovina","2000","3834",""
"Bosnia and Herzegovina","1999","3752",""
"Bosnia and Herzegovina","1998","3641",""
"Bosnia and Herzegovina","1997","3536",""
"Bosnia and Herzegovina","1996","3486",""
"Bosnia and Herzegovina","1995","3521",""
"Bosnia and Herzegovina","1994","3659",""
"Bosnia and Herzegovina","1993","3883",""
"Bosnia and Herzegovina","1992","4143",""
"Bosnia and Herzegovina","1991","4374",""
"Bosnia and Herzegovina","1990","4527",""
"Botswana","2012","2004",""
"Botswana","2011","1987",""
"Botswana","2010","1969",""
"Botswana","2009","1952",""
"Botswana","2008","1934",""
"Botswana","2007","1915",""
"Botswana","2006","1896",""
"Botswana","2005","1876",""
"Botswana","2004","1855",""
"Botswana","2003","1833",""
"Botswana","2002","1809",""
"Botswana","2001","1783",""
"Botswana","2000","1755",""
"Botswana","1999","1725",""
"Botswana","1998","1692",""
"Botswana","1997","1657",""
"Botswana","1996","1621",""
"Botswana","1995","1583",""
"Botswana","1994","1545",""
"Botswana","1993","1505",""
"Botswana","1992","1465",""
"Botswana","1991","1425",""
"Botswana","1990","1384",""
"Brazil","2012","199000",""
"Brazil","2011","197000",""
"Brazil","2010","195000",""
"Brazil","2009","194000",""
"Brazil","2008","192000",""
"Brazil","2007","190000",""
"Brazil","2006","188000",""
"Brazil","2005","186000",""
"Brazil","2004","184000",""
"Brazil","2003","182000",""
"Brazil","2002","179000",""
"Brazil","2001","177000",""
"Brazil","2000","175000",""
"Brazil","1999","172000",""
"Brazil","1998","170000",""
"Brazil","1997","167000",""
"Brazil","1996","164000",""
"Brazil","1995","162000",""
"Brazil","1994","159000",""
"Brazil","1993","157000",""
"Brazil","1992","155000",""
"Brazil","1991","152000",""
"Brazil","1990","150000",""
"Brunei Darussalam","2012","412",""
"Brunei Darussalam","2011","407",""
"Brunei Darussalam","2010","401",""
"Brunei Darussalam","2009","394",""
"Brunei Darussalam","2008","388",""
"Brunei Darussalam","2007","381",""
"Brunei Darussalam","2006","375",""
"Brunei Darussalam","2005","368",""
"Brunei Darussalam","2004","361",""
"Brunei Darussalam","2003","354",""
"Brunei Darussalam","2002","346",""
"Brunei Darussalam","2001","339",""
"Brunei Darussalam","2000","332",""
"Brunei Darussalam","1999","325",""
"Brunei Darussalam","1998","317",""
"Brunei Darussalam","1997","310",""
"Brunei Darussalam","1996","303",""
"Brunei Darussalam","1995","295",""
"Brunei Darussalam","1994","287",""
"Brunei Darussalam","1993","280",""
"Brunei Darussalam","1992","272",""
"Brunei Darussalam","1991","264",""
"Brunei Darussalam","1990","257",""
"Bulgaria","2012","7278",""
"Bulgaria","2011","7333",""
"Bulgaria","2010","7389",""
"Bulgaria","2009","7446",""
"Bulgaria","2008","7504",""
"Bulgaria","2007","7563",""
"Bulgaria","2006","7623",""
"Bulgaria","2005","7683",""
"Bulgaria","2004","7745",""
"Bulgaria","2003","7807",""
"Bulgaria","2002","7870",""
"Bulgaria","2001","7935",""
"Bulgaria","2000","8001",""
"Bulgaria","1999","8066",""
"Bulgaria","1998","8131",""
"Bulgaria","1997","8200",""
"Bulgaria","1996","8275",""
"Bulgaria","1995","8358",""
"Bulgaria","1994","8452",""
"Bulgaria","1993","8552",""
"Bulgaria","1992","8654",""
"Bulgaria","1991","8745",""
"Bulgaria","1990","8821",""
"Burkina Faso","2012","16460",""
"Burkina Faso","2011","15995",""
"Burkina Faso","2010","15540",""
"Burkina Faso","2009","15095",""
"Burkina Faso","2008","14660",""
"Burkina Faso","2007","14235",""
"Burkina Faso","2006","13822",""
"Burkina Faso","2005","13422",""
"Burkina Faso","2004","13034",""
"Burkina Faso","2003","12659",""
"Burkina Faso","2002","12296",""
"Burkina Faso","2001","11946",""
"Burkina Faso","2000","11608",""
"Burkina Faso","1999","11282",""
"Burkina Faso","1998","10968",""
"Burkina Faso","1997","10665",""
"Burkina Faso","1996","10373",""
"Burkina Faso","1995","10090",""
"Burkina Faso","1994","9817",""
"Burkina Faso","1993","9552",""
"Burkina Faso","1992","9297",""
"Burkina Faso","1991","9050",""
"Burkina Faso","1990","8811",""
"Burundi","2012","9850",""
"Burundi","2011","9540",""
"Burundi","2010","9233",""
"Burundi","2009","8927",""
"Burundi","2008","8624",""
"Burundi","2007","8328",""
"Burundi","2006","8043",""
"Burundi","2005","7770",""
"Burundi","2004","7511",""
"Burundi","2003","7264",""
"Burundi","2002","7038",""
"Burundi","2001","6839",""
"Burundi","2000","6674",""
"Burundi","1999","6545",""
"Burundi","1998","6448",""
"Burundi","1997","6370",""
"Burundi","1996","6294",""
"Burundi","1995","6210",""
"Burundi","1994","6112",""
"Burundi","1993","6004",""
"Burundi","1992","5883",""
"Burundi","1991","5750",""
"Burundi","1990","5606",""
"Cabo Verde","2012","494",""
"Cabo Verde","2011","491",""
"Cabo Verde","2010","488",""
"Cabo Verde","2009","486",""
"Cabo Verde","2008","485",""
"Cabo Verde","2007","484",""
"Cabo Verde","2006","482",""
"Cabo Verde","2005","479",""
"Cabo Verde","2004","474",""
"Cabo Verde","2003","467",""
"Cabo Verde","2002","459",""
"Cabo Verde","2001","451",""
"Cabo Verde","2000","442",""
"Cabo Verde","1999","434",""
"Cabo Verde","1998","426",""
"Cabo Verde","1997","418",""
"Cabo Verde","1996","409",""
"Cabo Verde","1995","399",""
"Cabo Verde","1994","390",""
"Cabo Verde","1993","379",""
"Cabo Verde","1992","369",""
"Cabo Verde","1991","360",""
"Cabo Verde","1990","352",""
"Cambodia","2012","14865",""
"Cambodia","2011","14606",""
"Cambodia","2010","14365",""
"Cambodia","2009","14144",""
"Cambodia","2008","13941",""
"Cambodia","2007","13747",""
"Cambodia","2006","13555",""
"Cambodia","2005","13356",""
"Cambodia","2004","13149",""
"Cambodia","2003","12934",""
"Cambodia","2002","12709",""
"Cambodia","2001","12473",""
"Cambodia","2000","12223",""
"Cambodia","1999","11960",""
"Cambodia","1998","11685",""
"Cambodia","1997","11396",""
"Cambodia","1996","11091",""
"Cambodia","1995","10769",""
"Cambodia","1994","10430",""
"Cambodia","1993","10077",""
"Cambodia","1992","9722",""
"Cambodia","1991","9378",""
"Cambodia","1990","9057",""
"Cameroon","2012","21700",""
"Cameroon","2011","21156",""
"Cameroon","2010","20624",""
"Cameroon","2009","20104",""
"Cameroon","2008","19595",""
"Cameroon","2007","19098",""
"Cameroon","2006","18612",""
"Cameroon","2005","18138",""
"Cameroon","2004","17675",""
"Cameroon","2003","17223",""
"Cameroon","2002","16782",""
"Cameroon","2001","16350",""
"Cameroon","2000","15928",""
"Cameroon","1999","15514",""
"Cameroon","1998","15108",""
"Cameroon","1997","14709",""
"Cameroon","1996","14317",""
"Cameroon","1995","13930",""
"Cameroon","1994","13547",""
"Cameroon","1993","13169",""
"Cameroon","1992","12797",""
"Cameroon","1991","12430",""
"Cameroon","1990","12070",""
"Canada","2012","34838",""
"Canada","2011","34487",""
"Canada","2010","34126",""
"Canada","2009","33753",""
"Canada","2008","33370",""
"Canada","2007","32986",""
"Canada","2006","32611",""
"Canada","2005","32253",""
"Canada","2004","31914",""
"Canada","2003","31592",""
"Canada","2002","31284",""
"Canada","2001","30987",""
"Canada","2000","30697",""
"Canada","1999","30416",""
"Canada","1998","30141",""
"Canada","1997","29867",""
"Canada","1996","29586",""
"Canada","1995","29295",""
"Canada","1994","28991",""
"Canada","1993","28676",""
"Canada","1992","28349",""
"Canada","1991","28009",""
"Canada","1990","27658",""
"Central African Republic","2012","4525",""
"Central African Republic","2011","4436",""
"Central African Republic","2010","4350",""
"Central African Republic","2009","4266",""
"Central African Republic","2008","4185",""
"Central African Republic","2007","4107",""
"Central African Republic","2006","4032",""
"Central African Republic","2005","3961",""
"Central African Republic","2004","3894",""
"Central African Republic","2003","3830",""
"Central African Republic","2002","3767",""
"Central African Republic","2001","3704",""
"Central African Republic","2000","3638",""
"Central African Republic","1999","3570",""
"Central African Republic","1998","3498",""
"Central African Republic","1997","3425",""
"Central African Republic","1996","3350",""
"Central African Republic","1995","3276",""
"Central African Republic","1994","3201",""
"Central African Republic","1993","3125",""
"Central African Republic","1992","3051",""
"Central African Republic","1991","2980",""
"Central African Republic","1990","2913",""
"Chad","2012","12448",""
"Chad","2011","12080",""
"Chad","2010","11721",""
"Chad","2009","11371",""
"Chad","2008","11031",""
"Chad","2007","10694",""
"Chad","2006","10357",""
"Chad","2005","10014",""
"Chad","2004","9665",""
"Chad","2003","9311",""
"Chad","2002","8960",""
"Chad","2001","8621",""
"Chad","2000","8301",""
"Chad","1999","8003",""
"Chad","1998","7724",""
"Chad","1997","7463",""
"Chad","1996","7216",""
"Chad","1995","6980",""
"Chad","1994","6756",""
"Chad","1993","6542",""
"Chad","1992","6339",""
"Chad","1991","6143",""
"Chad","1990","5952",""
"Chile","2012","17465",""
"Chile","2011","17308",""
"Chile","2010","17151",""
"Chile","2009","16992",""
"Chile","2008","16831",""
"Chile","2007","16669",""
"Chile","2006","16505",""
"Chile","2005","16338",""
"Chile","2004","16168",""
"Chile","2003","15996",""
"Chile","2002","15820",""
"Chile","2001","15639",""
"Chile","2000","15454",""
"Chile","1999","15266",""
"Chile","1998","15072",""
"Chile","1997","14872",""
"Chile","1996","14662",""
"Chile","1995","14440",""
"Chile","1994","14205",""
"Chile","1993","13958",""
"Chile","1992","13706",""
"Chile","1991","13456",""
"Chile","1990","13214",""
"China","2012","1390000",""
"China","2011","1380000",""
"China","2010","1370000",""
"China","2009","1360000",""
"China","2008","1350000",""
"China","2007","1340000",""
"China","2006","1330000",""
"China","2005","1330000",""
"China","2004","1320000",""
"China","2003","1310000",""
"China","2002","1300000",""
"China","2001","1300000",""
"China","2000","1290000",""
"China","1999","1280000",""
"China","1998","1270000",""
"China","1997","1260000",""
"China","1996","1260000",""
"China","1995","1240000",""
"China","1994","1230000",""
"China","1993","1220000",""
"China","1992","1210000",""
"China","1991","1190000",""
"China","1990","1170000",""
"Colombia","2012","47704",""
"Colombia","2011","47079",""
"Colombia","2010","46445",""
"Colombia","2009","45803",""
"Colombia","2008","45153",""
"Colombia","2007","44498",""
"Colombia","2006","43841",""
"Colombia","2005","43184",""
"Colombia","2004","42528",""
"Colombia","2003","41872",""
"Colombia","2002","41216",""
"Colombia","2001","40559",""
"Colombia","2000","39898",""
"Colombia","1999","39234",""
"Colombia","1998","38568",""
"Colombia","1997","37901",""
"Colombia","1996","37236",""
"Colombia","1995","36574",""
"Colombia","1994","35915",""
"Colombia","1993","35260",""
"Colombia","1992","34608",""
"Colombia","1991","33957",""
"Colombia","1990","33307",""
"Comoros","2012","718",""
"Comoros","2011","700",""
"Comoros","2010","683",""
"Comoros","2009","666",""
"Comoros","2008","649",""
"Comoros","2007","633",""
"Comoros","2006","617",""
"Comoros","2005","601",""
"Comoros","2004","585",""
"Comoros","2003","570",""
"Comoros","2002","556",""
"Comoros","2001","542",""
"Comoros","2000","528",""
"Comoros","1999","515",""
"Comoros","1998","502",""
"Comoros","1997","490",""
"Comoros","1996","478",""
"Comoros","1995","466",""
"Comoros","1994","455",""
"Comoros","1993","444",""
"Comoros","1992","433",""
"Comoros","1991","423",""
"Comoros","1990","413",""
"Congo","2012","4337",""
"Congo","2011","4225",""
"Congo","2010","4112",""
"Congo","2009","3995",""
"Congo","2008","3876",""
"Congo","2007","3759",""
"Congo","2006","3647",""
"Congo","2005","3543",""
"Congo","2004","3449",""
"Congo","2003","3363",""
"Congo","2002","3284",""
"Congo","2001","3206",""
"Congo","2000","3126",""
"Congo","1999","3044",""
"Congo","1998","2961",""
"Congo","1997","2878",""
"Congo","1996","2798",""
"Congo","1995","2721",""
"Congo","1994","2648",""
"Congo","1993","2578",""
"Congo","1992","2512",""
"Congo","1991","2447",""
"Congo","1990","2383",""
"Cook Islands","2012","21",""
"Cook Islands","2011","20",""
"Cook Islands","2010","20",""
"Cook Islands","2009","20",""
"Cook Islands","2008","20",""
"Cook Islands","2007","20",""
"Cook Islands","2006","20",""
"Cook Islands","2005","19",""
"Cook Islands","2004","19",""
"Cook Islands","2003","19",""
"Cook Islands","2002","18",""
"Cook Islands","2001","18",""
"Cook Islands","2000","18",""
"Cook Islands","1999","18",""
"Cook Islands","1998","18",""
"Cook Islands","1997","18",""
"Cook Islands","1996","18",""
"Cook Islands","1995","18",""
"Cook Islands","1994","18",""
"Cook Islands","1993","18",""
"Cook Islands","1992","18",""
"Cook Islands","1991","18",""
"Cook Islands","1990","18",""
"Costa Rica","2012","4805",""
"Costa Rica","2011","4738",""
"Costa Rica","2010","4670",""
"Costa Rica","2009","4601",""
"Costa Rica","2008","4533",""
"Costa Rica","2007","4463",""
"Costa Rica","2006","4392",""
"Costa Rica","2005","4320",""
"Costa Rica","2004","4246",""
"Costa Rica","2003","4171",""
"Costa Rica","2002","4094",""
"Costa Rica","2001","4013",""
"Costa Rica","2000","3930",""
"Costa Rica","1999","3842",""
"Costa Rica","1998","3751",""
"Costa Rica","1997","3658",""
"Costa Rica","1996","3567",""
"Costa Rica","1995","3478",""
"Costa Rica","1994","3394",""
"Costa Rica","1993","3312",""
"Costa Rica","1992","3234",""
"Costa Rica","1991","3156",""
"Costa Rica","1990","3079",""
"Côte d’Ivoire","2012","19840",""
