"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Andorra","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","14387.611","1331.33","Weight in kilograms","1331.33"
"Andorra","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","97.994","25","Weight in kilograms","25"
"Andorra","2020","Spices; ginger, neither crushed nor ground","Import","1030.541","193.35","Weight in kilograms","193.35"
"Andorra","2020","Spices; ginger, crushed or ground","Import","82.826","12.13","Weight in kilograms","12.13"
"Andorra","2020","Spices; saffron","Import","11599.073","36.753","Weight in kilograms","36.753"
"Andorra","2020","Spices; turmeric (curcuma)","Import","207.872","20.97","Weight in kilograms","20.97"
"Andorra","2020","Spices; mixtures of 2 or more products of different headings","Import","1445.576","57.38","Weight in kilograms","57.38"
"Andorra","2020","Spices; n.e.c. in heading no. 0910","Import","538141.696","68699.24","Weight in kilograms","68699.24"
"Angola","2022","Coffee; not roasted or decaffeinated","Import","128571.935","30047.143","Weight in kilograms","30047.143"
"Angola","2022","Coffee; decaffeinated, not roasted","Import","54239.956","11238.93","Weight in kilograms","11238.93"
"Angola","2022","Coffee; roasted, not decaffeinated","Import","2776734.513","315708.302","Weight in kilograms","315708.302"
"Angola","2022","Coffee; roasted, decaffeinated","Import","260182.951","","No Quantity",""
"Angola","2022","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","425334.062","238513.852","Weight in kilograms","238513.852"
"Angola","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","2535.467","1318.707","Weight in kilograms","1318.707"
"Angola","2022","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","498495.149","112546.488","Weight in kilograms","112546.488"
"Angola","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Export","2348.155","","No Quantity",""
"Angola","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","272917.523","162375.988","Weight in kilograms","162375.988"
"Angola","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","39.01","15","Weight in kilograms","15"
"Angola","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","2171683.786","587358.824","Weight in kilograms","587358.824"
"Angola","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","2008636.204","627492.597","Weight in kilograms","627492.597"
"Angola","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Re-Export","2015.785","100","Weight in kilograms","100"
"Angola","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","2412.317","1183","Weight in kilograms","1183"
"Angola","2022","Mate","Import","8658.939","5206.316","Weight in kilograms","5206.316"
"Angola","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Export","3111.855","116.66","Weight in kilograms","116.66"
"Angola","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Re-Export","38.287","16.66","Weight in kilograms","16.66"
"Angola","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Import","123358.005","53158.32","Weight in kilograms","53158.32"
"Angola","2022","Spices; pepper (of the genus piper), crushed or ground","Export","35.665","47","Weight in kilograms","47"
"Angola","2022","Spices; pepper (of the genus piper), crushed or ground","Import","300986.01","78830.572","Weight in kilograms","78830.572"
"Angola","2022","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","24187.628","16899.484","Weight in kilograms","16899.484"
"Angola","2022","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","155207.652","49393.02","Weight in kilograms","49393.02"
"Angola","2022","Spices; vanilla, neither crushed nor ground","Import","100755.183","155057.949","Weight in kilograms","155057.949"
"Angola","2022","Spices; vanilla, crushed or ground","Import","4959.432","","No Quantity",""
"Angola","2022","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","208898.73","","No Quantity",""
"Angola","2022","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Export","2.714","10","Weight in kilograms","10"
"Angola","2022","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","16198.598","11362.32","Weight in kilograms","11362.32"
"Angola","2022","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","100955.377","","No Quantity",""
"Angola","2022","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Export","3.906","4","Weight in kilograms","4"
"Angola","2022","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","40737.106","15454.48","Weight in kilograms","15454.48"
"Angola","2022","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Import","20118.912","9863.888","Weight in kilograms","9863.888"
"Angola","2022","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Export","1.737","10","Weight in kilograms","10"
"Angola","2022","Spices; nutmeg, neither crushed nor ground","Import","11746.604","15426.26","Weight in kilograms","15426.26"
"Angola","2022","Spices; nutmeg, crushed or ground","Import","59236.971","33650.5","Weight in kilograms","33650.5"
"Angola","2022","Spices; mace, neither crushed nor ground","Import","1055.042","752","Weight in kilograms","752"
"Angola","2022","Spices; mace, crushed or ground","Import","1460.278","1585","Weight in kilograms","1585"
"Angola","2022","Spices; cardamoms, neither crushed nor ground","Import","10158.614","8850.617","Weight in kilograms","8850.617"
"Angola","2022","Spices; cardamoms, crushed or ground","Import","2123.163","","No Quantity",""
"Angola","2022","Spices; coriander seeds, neither crushed nor ground","Import","10747.048","15792.66","Weight in kilograms","15792.66"
"Angola","2022","Spices; coriander seeds, crushed or ground","Import","27213.159","24346.306","Weight in kilograms","24346.306"
"Angola","2022","Spices; cumin seeds, neither crushed nor ground","Import","6342.104","8814.507","Weight in kilograms","8814.507"
"Angola","2022","Spices; cumin seeds, crushed or ground","Import","51677.263","27096.96","Weight in kilograms","27096.96"
"Angola","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","13610.59","13294.011","Weight in kilograms","13294.011"
"Angola","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","6027.124","58056.14","Weight in kilograms","58056.14"
"Angola","2022","Spices; ginger, neither crushed nor ground","Import","92229.191","120404.6","Weight in kilograms","120404.6"
"Angola","2022","Spices; ginger, neither crushed nor ground","Export","261.053","230","Weight in kilograms","230"
"Angola","2022","Spices; ginger, crushed or ground","Export","64.92","24","Weight in kilograms","24"
"Angola","2022","Spices; ginger, crushed or ground","Import","35309.348","35780.438","Weight in kilograms","35780.438"
"Angola","2022","Spices; saffron","Import","58517.169","30498.658","Weight in kilograms","30498.658"
