"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Slovenia","2022","Spices; n.e.c. in heading no. 0910","Import","2679327.07","408016.95","Weight in kilograms","408016.95"
"Slovenia","2021","Coffee; not roasted or decaffeinated","Export","17098048.422","6111237.51","Weight in kilograms","6111237.51"
"Slovenia","2021","Coffee; not roasted or decaffeinated","Import","41139300.375","15637548.365","Weight in kilograms","15637548.365"
"Slovenia","2021","Coffee; decaffeinated, not roasted","Export","180703.021","44835.5","Weight in kilograms","44835.5"
"Slovenia","2021","Coffee; decaffeinated, not roasted","Import","256720.943","55674.641","Weight in kilograms","55674.641"
"Slovenia","2021","Coffee; roasted, not decaffeinated","Import","34013486.015","5200312.283","Weight in kilograms","5200312.283"
"Slovenia","2021","Coffee; roasted, not decaffeinated","Export","26288712.179","3607035.624","Weight in kilograms","3607035.624"
"Slovenia","2021","Coffee; roasted, decaffeinated","Import","929539.736","98567.53","Weight in kilograms","98567.53"
"Slovenia","2021","Coffee; roasted, decaffeinated","Export","268560.906","27676.085","Weight in kilograms","27676.085"
"Slovenia","2021","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Export","287057.499","131485.928","Weight in kilograms","131485.928"
"Slovenia","2021","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","1932929.225","596771.467","Weight in kilograms","596771.467"
"Slovenia","2021","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","883203.966","42749.07","Weight in kilograms","42749.07"
"Slovenia","2021","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","291417.316","13385.912","Weight in kilograms","13385.912"
"Slovenia","2021","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Export","5856.891","959.934","Weight in kilograms","959.934"
"Slovenia","2021","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","289410.978","25571.634","Weight in kilograms","25571.634"
"Slovenia","2021","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","373044.187","19579.282","Weight in kilograms","19579.282"
"Slovenia","2021","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","47887.139","2644.648","Weight in kilograms","2644.648"
"Slovenia","2021","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","1312.284","64.413","Weight in kilograms","64.413"
"Slovenia","2021","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","168781.436","17016.023","Weight in kilograms","17016.023"
"Slovenia","2021","Mate","Import","10288.764","517.095","Weight in kilograms","517.095"
"Slovenia","2021","Mate","Export","875.763","82.68","Weight in kilograms","82.68"
"Slovenia","2021","Spices; pepper (of the genus piper), neither crushed nor ground","Import","514725.843","51487.453","Weight in kilograms","51487.453"
"Slovenia","2021","Spices; pepper (of the genus piper), neither crushed nor ground","Export","19006.052","1617.237","Weight in kilograms","1617.237"
"Slovenia","2021","Spices; pepper (of the genus piper), crushed or ground","Import","1054202.683","138428.967","Weight in kilograms","138428.967"
"Slovenia","2021","Spices; pepper (of the genus piper), crushed or ground","Export","21777.048","2984.545","Weight in kilograms","2984.545"
"Slovenia","2021","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","267172.244","36839.714","Weight in kilograms","36839.714"
"Slovenia","2021","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Export","114154.048","13754.446","Weight in kilograms","13754.446"
"Slovenia","2021","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","1273181.129","232338.125","Weight in kilograms","232338.125"
"Slovenia","2021","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Export","39805.48","7695.003","Weight in kilograms","7695.003"
"Slovenia","2021","Spices; vanilla, neither crushed nor ground","Export","7.85","0.02","Weight in kilograms","0.02"
"Slovenia","2021","Spices; vanilla, neither crushed nor ground","Import","339253.527","1942.971","Weight in kilograms","1942.971"
"Slovenia","2021","Spices; vanilla, crushed or ground","Import","125576.322","2065.756","Weight in kilograms","2065.756"
"Slovenia","2021","Spices; vanilla, crushed or ground","Export","17.401","0.13","Weight in kilograms","0.13"
